Name
"04001, Fat, beef tallow"
"04002, Lard"
"04520, Fat, mutton tallow"
"04542, Fat, chicken"
"04544, Shortening, household, lard and vegetable oil"
"04549, Shortening industrial, lard and vegetable oil"
"04550, Shortening frying (heavy duty), beef tallow and cottonseed"
"04574, Fat, duck"
"04575, Fat, turkey"
"04576, Fat, goose"
"04589, Fish oil, cod liver"
"04590, Fish oil, herring"
"04591, Fish oil, menhaden"
"04592, Fish oil, menhaden, fully hydrogenated"
"04593, Fish oil, salmon"
"04594, Fish oil, sardine"
"04606, Meat drippings (lard, beef tallow, mutton tallow)"
"04609, Animal fat, bacon grease"
