Variable Name	Variable Description	Data File Name	Data File Description	Begin Year	EndYear	Component	Use Constraints
BPAARM	Arm selected:	BPX_H	Blood Pressure	2013	2014	Examination	None
BPACSZ	Cuff size (cm) (width X length)	BPX_H	Blood Pressure	2013	2014	Examination	None
BPAEN1	Enhancement used first reading	BPX_H	Blood Pressure	2013	2014	Examination	None
BPAEN2	Enhancement used second reading	BPX_H	Blood Pressure	2013	2014	Examination	None
BPAEN3	Enhancement used third reading	BPX_H	Blood Pressure	2013	2014	Examination	None
BPAEN4	Enhancement used fourth reading	BPX_H	Blood Pressure	2013	2014	Examination	None
BPXCHR	60 sec HR (30 sec HR * 2)	BPX_H	Blood Pressure	2013	2014	Examination	None
BPXDI1	Diastolic:  Blood pressure (first reading) mm Hg	BPX_H	Blood Pressure	2013	2014	Examination	None
BPXDI2	Diastolic: Blood pressure (second reading) mm Hg	BPX_H	Blood Pressure	2013	2014	Examination	None
BPXDI3	Diastolic: Blood pressure (third reading) mm Hg	BPX_H	Blood Pressure	2013	2014	Examination	None
BPXDI4	Diastolic: Blood pressure (fourth reading if necessary) mm Hg	BPX_H	Blood Pressure	2013	2014	Examination	None
BPXML1	MIL: maximum inflation levels (mm Hg)	BPX_H	Blood Pressure	2013	2014	Examination	None
BPXPLS	60 sec. pulse (30 sec. pulse * 2)	BPX_H	Blood Pressure	2013	2014	Examination	None
BPXPTY	Pulse type	BPX_H	Blood Pressure	2013	2014	Examination	None
BPXPULS	Pulse regular or irregular?	BPX_H	Blood Pressure	2013	2014	Examination	None
BPXSY1	Systolic:  Blood pressure (first reading) mm Hg	BPX_H	Blood Pressure	2013	2014	Examination	None
BPXSY2	Systolic:  Blood pressure (second reading) mm Hg	BPX_H	Blood Pressure	2013	2014	Examination	None
BPXSY3	Systolic:  Blood pressure (third reading) mm Hg	BPX_H	Blood Pressure	2013	2014	Examination	None
BPXSY4	Systolic:  Blood pressure (fourth reading if necessary) mm Hg	BPX_H	Blood Pressure	2013	2014	Examination	None
PEASCCT1	Blood Pressure Comment	BPX_H	Blood Pressure	2013	2014	Examination	None
PEASCST1	Blood Pressure Status	BPX_H	Blood Pressure	2013	2014	Examination	None
PEASCTM1	Blood Pressure Time in Seconds	BPX_H	Blood Pressure	2013	2014	Examination	None
SEQN	Respondent sequence number.	BPX_H	Blood Pressure	2013	2014	Examination	None
DXASPND0	Calculated DO for spine	DXXSPN_H	Dual-Energy X-ray Absorptiometry - Spine	2013	2014	Examination	None
DXASPNK	Calculated K for spine	DXXSPN_H	Dual-Energy X-ray Absorptiometry - Spine	2013	2014	Examination	None
DXASPNST	Spine scan status	DXXSPN_H	Dual-Energy X-ray Absorptiometry - Spine	2013	2014	Examination	None
DXXL1A	L1 area	DXXSPN_H	Dual-Energy X-ray Absorptiometry - Spine	2013	2014	Examination	None
DXXL1BCC	L1 BMD invalidity code	DXXSPN_H	Dual-Energy X-ray Absorptiometry - Spine	2013	2014	Examination	None
DXXL1BMC	L1 BMC	DXXSPN_H	Dual-Energy X-ray Absorptiometry - Spine	2013	2014	Examination	None
DXXL1BMD	L1 BMD	DXXSPN_H	Dual-Energy X-ray Absorptiometry - Spine	2013	2014	Examination	None
DXXL2A	L2 area	DXXSPN_H	Dual-Energy X-ray Absorptiometry - Spine	2013	2014	Examination	None
DXXL2BCC	L2 BMD invalidity code	DXXSPN_H	Dual-Energy X-ray Absorptiometry - Spine	2013	2014	Examination	None
