Data File Name	Doc File	Data File	Date Published
Albumin & Creatinine - Urine	ALB_CR_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/ALB_CR_G.htm)	ALB_CR_G Data [XPT - 368.2 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/ALB_CR_G.XPT)	Updated September 2016
Antibody to Toxocara spp. (Surplus)	SSTOCA_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/SSTOCA_G.htm)	SSTOCA_G Data [XPT - 163.1 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/SSTOCA_G.XPT)	January 2017
Apolipoprotein B	APOB_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/APOB_G.htm)	APOB_G Data [XPT - 102.5 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/APOB_G.XPT)	January 2014
Arsenics - Total & Speciated - Urine	UAS_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/UAS_G.htm)	UAS_G Data [XPT - 388.4 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/UAS_G.XPT)	Updated October 2014
Arsenics - Total & Speciated - Urine - Special Sample	UASS_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/UASS_G.htm)	UASS_G Data [XPT - 352.1 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/UASS_G.XPT)	September 2013
Brominated Flame Retardants (BFRs) - Serum - Pooled Samples	BFRPOL_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/BFRPOL_G.htm)	BFRPOL_G Data [XPT - 88.9 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/BFRPOL_G.XPT)	April 2018
"Cadmium, Lead, Total Mercury, Selenium, & Manganese - Blood"	PBCD_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PBCD_G.htm)	PBCD_G Data [XPT - 1.1 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PBCD_G.XPT)	September 2013
Chlamydia - Urine	CHLMDA_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CHLMDA_G.htm)	CHLMDA_G Data [XPT - 35 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CHLMDA_G.XPT)	November 2013
Cholesterol - HDL	HDL_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HDL_G.htm)	HDL_G Data [XPT - 184.5 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HDL_G.XPT)	September 2013
Cholesterol - LDL & Triglycerides	TRIGLY_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/TRIGLY_G.htm)	TRIGLY_G Data [XPT - 153.4 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/TRIGLY_G.XPT)	January 2014
Cholesterol - Total	TCHOL_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/TCHOL_G.htm)	TCHOL_G Data [XPT - 184.5 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/TCHOL_G.XPT)	September 2013
Complete Blood Count with 5-part Differential - Whole Blood	CBC_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CBC_G.htm)	CBC_G Data [XPT - 1.4 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CBC_G.XPT)	January 2014
"Copper, Selenium & Zinc - Serum"	CUSEZN_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CUSEZN_G.htm)	CUSEZN_G Data [XPT - 184.4 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CUSEZN_G.XPT)	Updated October 2014
Cotinine - Serum & Total NNAL - Urine	COTNAL_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/COTNAL_G.htm)	COTNAL_G Data [XPT - 397 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/COTNAL_G.XPT)	Updated December 2013
Cytomegalovirus IgG & IgM Antibodies - Serum	CMV_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CMV_G.htm)	CMV_G Data [XPT - 36.7 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CMV_G.XPT)	October 2013
DEET and Metabolites	DEET_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DEET_G.htm)	DEET_G Data [XPT - 178.1 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DEET_G.XPT)	March 2017
Environmental Phenols & Parabens	EPH_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/EPH_G.htm)	EPH_G Data [XPT - 347.6 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/EPH_G.XPT)	Updated October 2014
Fasting Questionnaire	FASTQX_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/FASTQX_G.htm)	FASTQX_G Data [XPT - 1.3 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/FASTQX_G.XPT)	September 2013
Folate - RBC	FOLATE_G Doc		Withdrawn
Folate Forms - Serum	FOLFMS_G Doc		Withdrawn
Glycohemoglobin	GHB_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/GHB_G.htm)	GHB_G Data [XPT - 103.4 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/GHB_G.XPT)	September 2013
Hepatitis A Antibody	HEPA_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HEPA_G.htm)	HEPA_G Data [XPT - 137.6 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HEPA_G.XPT)	September 2013
Hepatitis B Surface Antibody	HEPB_S_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HEPB_S_G.htm)	HEPB_S_G Data [XPT - 137.6 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HEPB_S_G.XPT)	September 2013
"Hepatitis B: Core Antibody, Surface Antigen; Hepatitis D Antibody"	HEPBD_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HEPBD_G.htm)	HEPBD_G Data [XPT - 245.7 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HEPBD_G.XPT)	September 2013
Hepatitis C Antibody Reflex Testing - Serum (Surplus)	SSHCV_E Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/SSHCV_E.htm)	SSHCV_E Data [XPT - 32.9 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/SSHCV_E.XPT)	February 2015
"Hepatitis C: Confirmed Antibody, RNA (HCV-RNA), & Genotype"	HEPC_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HEPC_G.htm)	HEPC_G Data [XPT - 245.7 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HEPC_G.XPT)	Updated February 2015
Hepatitis E : IgG & IgM Antibodies	HEPE_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HEPE_G.htm)	HEPE_G Data [XPT - 184.5 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HEPE_G.XPT)	September 2013
Herpes Simplex Virus Type-1 & Type-2	HSV_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HSV_G.htm)	HSV_G Data [XPT - 86.9 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HSV_G.XPT)	November 2013
HIV Antibody Test	HIV_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HIV_G.htm)	HIV_G Data [XPT - 62.4 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HIV_G.XPT)	September 2013
Human Papillomavirus (HPV) - Oral Rinse	ORHPV_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/ORHPV_G.htm)	ORHPV_G Data [XPT - 1.5 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/ORHPV_G.XPT)	February 2014
Human Papillomavirus (HPV) DNA - Vaginal Swab: Digene Hybrid Capture & Roche Linear Array	HPVSWR_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HPVSWR_G.htm)	HPVSWR_G Data [XPT - 661.1 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HPVSWR_G.XPT)	March 2015
Iodine - Urine	UIO_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/UIO_G.htm)	UIO_G Data [XPT - 82.3 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/UIO_G.XPT)	Updated October 2014
"Mercury - Inorganic, Ethyl & Methyl - Blood"	IHGEM_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/IHGEM_G.htm)	IHGEM_G Data [XPT - 561.6 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/IHGEM_G.XPT)	September 2013
"Mercury - Inorganic, Urine"	UHG_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/UHG_G.htm)	UHG_G Data [XPT - 102.7 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/UHG_G.XPT)	Updated October 2014
Metals - Urine	UHM_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/UHM_G.htm)	UHM_G Data [XPT - 592.4 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/UHM_G.XPT)	Updated October 2014
Metals - Urine - Special Sample	UHMS_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/UHMS_G.htm)	UHMS_G Data [XPT - 537 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/UHMS_G.XPT)	September 2013
Non-dioxin-like Polychlorinated Biphenyls & Mono-ortho-substituted Polychlorinated Biphenyls - Serum - Pooled Samples	PCBPOL_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PCBPOL_G.htm)	PCBPOL_G Data [XPT - 164.4 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PCBPOL_G.XPT)	April 2018
Oral Glucose Tolerance Test	OGTT_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/OGTT_G.htm)	OGTT_G Data [XPT - 266.2 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/OGTT_G.XPT)	January 2014
Osmolality - Urine	UCOSMO_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/UCOSMO_G.htm)	UCOSMO_G Data [XPT - 123.3 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/UCOSMO_G.XPT)	September 2013
"Perchlorate, Nitrate & Thiocyanate - Urine"	PERNT_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PERNT_G.htm)	PERNT_G Data [XPT - 184.4 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PERNT_G.XPT)	Updated October 2014
"Perchlorate, Nitrate & Thiocyanate - Urine - Special Sample"	PERNTS_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PERNTS_G.htm)	PERNTS_G Data [XPT - 167.2 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PERNTS_G.XPT)	September 2013
Pesticides - Environmental - Urine	PP_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PP_G.htm)	PP_G Data [XPT - 143.6 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PP_G.XPT)	Updated October 2014
Pesticides - Organochlorine Pesticides - Serum - Pooled Samples	PSTPOL_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PSTPOL_G.htm)	PSTPOL_G Data [XPT - 63.7 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PSTPOL_G.XPT)	April 2018
Phthalates & Plasticizers Metabolites - Urine	PHTHTE_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PHTHTE_G.htm)	PHTHTE_G Data [XPT - 633.3 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PHTHTE_G.XPT)	Updated October 2014
Plasma Fasting Glucose & Insulin	GLU_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/GLU_G.htm)	GLU_G Data [XPT - 204.3 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/GLU_G.XPT)	Updated August 2016
Polyaromatic Hydrocarbons (PAHs) - Urine	PAH_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PAH_G.htm)	PAH_G Data [XPT - 470.1 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PAH_G.XPT)	Updated October 2014
Polyaromatic Hydrocarbons (PAHs)- Urine - Special Sample	PAHS_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PAHS_G.htm)	PAHS_G Data [XPT - 426 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PAHS_G.XPT)	February 2014
Polyfluoroalkyl Chemicals	PFC_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PFC_G.htm)	PFC_G Data [XPT - 446.6 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PFC_G.XPT)	Updated October 2014
Pooled-Sample Technical Support File	POOLTF_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/POOLTF_G.htm)	POOLTF_G Data [XPT - 51.5 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/POOLTF_G.XPT)	April 2018
Pregnancy Test - Urine	UCPREG_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/UCPREG_G.htm)	UCPREG_G Data [XPT - 19.3 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/UCPREG_G.XPT)	Updated October 2014
Standard Biochemistry Profile	BIOPRO_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/BIOPRO_G.htm)	BIOPRO_G Data [XPT - 1.9 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/BIOPRO_G.XPT)	Updated February 2014
Thyroid Profile	THYROD_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/THYROD_G.htm)	THYROD_G Data [XPT - 240.8 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/THYROD_G.XPT)	Updated October 2014
Tissue Transglutaminase Assay (IgA-TTG) & IgA Endomyseal Antibody Assay (IgA EMA)	TGEMA_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/TGEMA_G.htm)	TGEMA_G Data [XPT - 184.5 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/TGEMA_G.XPT)	September 2013
Total Testosterone	TST_G Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/TST_G.htm)	TST_G Data [XPT - 123.3 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/TST_G.XPT)	Updated March 2014
