Data File Name	Doc File	Data File	Date Published
Arthritis Body Measures	ARX_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ARX_F.htm)	ARX_F Data [XPT - 510.5 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ARX_F.XPT)	September 2011
Audiometry	AUX_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/AUX_F.htm)	AUX_F Data [XPT - 1.3 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/AUX_F.XPT)	June 2012
Audiometry - Acoustic Reflex	AUXAR_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/AUXAR_F.htm)	AUXAR_F Data [XPT - 6.1 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/AUXAR_F.XPT)	Updated August 2012
Audiometry - Tympanometry	AUXTYM_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/AUXTYM_F.htm)	AUXTYM_F Data [XPT - 3.1 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/AUXTYM_F.XPT)	June 2012
Blood Pressure	BPX_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/BPX_F.htm)	BPX_F Data [XPT - 2.1 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/BPX_F.XPT)	September 2011
Body Measures	BMX_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/BMX_F.htm)	BMX_F Data [XPT - 1.8 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/BMX_F.XPT)	September 2011
Dual Energy X-ray Absorptiometry - Femur	DXXFEM_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DXXFEM_F.htm)	DXXFEM_F Data [XPT - 1.3 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DXXFEM_F.XPT)	November 2012
Dual Energy X-ray Absorptiometry - Spine	DXXSPN_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DXXSPN_F.htm)	DXXSPN_F Data [XPT - 1.5 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DXXSPN_F.XPT)	November 2012
Exhaled Nitric Oxide	ENX_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ENX_F.htm)	ENX_F Data [XPT - 1.4 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ENX_F.XPT)	September 2011
Oral Health - Dentition	OHXDEN_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/OHXDEN_F.htm)	OHXDEN_F Data [XPT - 2.4 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/OHXDEN_F.XPT)	April 2012
Oral Health - Periodontal	OHXPER_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/OHXPER_F.htm)	OHXPER_F Data [XPT - 19.6 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/OHXPER_F.XPT)	Updated April 2014
Oral Health - Recommendation of Care	OHXREF_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/OHXREF_F.htm)	OHXREF_F Data [XPT - 770.1 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/OHXREF_F.XPT)	April 2012
Spirometry - Pre and Post-Bronchodilator	SPX_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/SPX_F.htm)	SPX_F Data [XPT - 2.9 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/SPX_F.XPT)	December 2011
Spirometry - Raw Curve Data	SPXRAW_F Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/SPXRAW_F.htm)	SPXRAW_F Data [ZIP - 12.4 MB](https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/SPXRAW_F.ZIP)	December 2011
