Variable Name	Variable Description	Data File Name	Data File Description	Begin Year	EndYear	Component	Use Constraints
LBDBANO	Basophils number (1000 cells/uL)	CBC_H	Complete Blood Count with 5-part Differential - Whole Blood	2013	2014	Laboratory	None
LBDEONO	Eosinophils number (1000 cells/uL)	CBC_H	Complete Blood Count with 5-part Differential - Whole Blood	2013	2014	Laboratory	None
LBDLYMNO	Lymphocyte number (1000 cells/uL)	CBC_H	Complete Blood Count with 5-part Differential - Whole Blood	2013	2014	Laboratory	None
LBDMONO	Monocyte number (1000 cells/uL)	CBC_H	Complete Blood Count with 5-part Differential - Whole Blood	2013	2014	Laboratory	None
LBDNENO	Segmented neutrophils num (1000 cell/uL)	CBC_H	Complete Blood Count with 5-part Differential - Whole Blood	2013	2014	Laboratory	None
LBXBAPCT	Basophils percent (%)	CBC_H	Complete Blood Count with 5-part Differential - Whole Blood	2013	2014	Laboratory	None
LBXEOPCT	Eosinophils percent (%)	CBC_H	Complete Blood Count with 5-part Differential - Whole Blood	2013	2014	Laboratory	None
LBXHCT	Hematocrit (%)	CBC_H	Complete Blood Count with 5-part Differential - Whole Blood	2013	2014	Laboratory	None
LBXHGB	Hemoglobin (g/dL)	CBC_H	Complete Blood Count with 5-part Differential - Whole Blood	2013	2014	Laboratory	None
LBXLYPCT	Lymphocyte percent (%)	CBC_H	Complete Blood Count with 5-part Differential - Whole Blood	2013	2014	Laboratory	None
LBXMC	Mean cell hemoglobin concentration (g/dL)	CBC_H	Complete Blood Count with 5-part Differential - Whole Blood	2013	2014	Laboratory	None
LBXMCHSI	Mean cell hemoglobin (pg)	CBC_H	Complete Blood Count with 5-part Differential - Whole Blood	2013	2014	Laboratory	None
LBXMCVSI	Mean cell volume (fL)	CBC_H	Complete Blood Count with 5-part Differential - Whole Blood	2013	2014	Laboratory	None
LBXMOPCT	Monocyte percent (%)	CBC_H	Complete Blood Count with 5-part Differential - Whole Blood	2013	2014	Laboratory	None
LBXMPSI	Mean platelet volume (fL)	CBC_H	Complete Blood Count with 5-part Differential - Whole Blood	2013	2014	Laboratory	None
