Data File Name	Doc File	Data File	Date Published
Albumin & Creatinine - Urine	ALB_CR_H Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/ALB_CR_H.htm)	ALB_CR_H Data [XPT - 390.2 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/ALB_CR_H.XPT)	Updated September 2016
Antibody to Toxocara spp. (Surplus)	SSTOCA_H Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/SSTOCA_H.htm)	SSTOCA_H Data [XPT - 155.9 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/SSTOCA_H.XPT)	January 2017
Apolipoprotein B	APOB_H Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/APOB_H.htm)	APOB_H Data [XPT - 105.3 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/APOB_H.XPT)	February 2016
Arsenic - Total - Urine	UTAS_H Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/UTAS_H.htm)	UTAS_H Data [XPT - 87.3 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/UTAS_H.XPT)	January 2016
Arsenic - Total - Urine - Special Sample	UTASS_H Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/UTASS_H.htm)	UTASS_H Data [XPT - 82.7 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/UTASS_H.XPT)	December 2015
Arsenics - Speciated - Urine	UAS_H Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/UAS_H.htm)	UAS_H Data [XPT - 325.7 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/UAS_H.XPT)	January 2016
Arsenics - Speciated - Urine - Special Sample	UASS_H Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/UASS_H.htm)	UASS_H Data [XPT - 308.1 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/UASS_H.XPT)	December 2015
"Blood Lead, Cadmium, Total Mercury, Selenium, and Manganese"	PBCD_H Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/PBCD_H.htm)	PBCD_H Data [XPT - 790.9 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/PBCD_H.XPT)	Updated August 2017
"Blood mercury: inorganic, ethyl and methyl"	IHGEM_H Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/IHGEM_H.htm)	IHGEM_H Data [XPT - 419.1 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/IHGEM_H.XPT)	January 2016
Brominated Flame Retardants (BFRs) - Serum - Pooled Samples	BFRPOL_H Doc(https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/BFRPOL_H.htm)	BFRPOL_H Data [XPT - 99.7 KB](https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/BFRPOL_H.XPT)	May 2018
