Food code,Start date,End date,Moisture change,Fat change,Type of fat
11000000,1/1/2009,12/31/2010,0,0,0
11100000,1/1/2009,12/31/2010,0,0,0
11111000,1/1/2009,12/31/2010,0,0,0
11111100,1/1/2009,12/31/2010,0,0,0
11111150,1/1/2009,12/31/2010,0,0,0
11111160,1/1/2009,12/31/2010,0,0,0
11111170,1/1/2009,12/31/2010,0,0,0
11112110,1/1/2009,12/31/2010,0,0,0
11112120,1/1/2009,12/31/2010,0,0,0
11112130,1/1/2009,12/31/2010,0,0,0
11112210,1/1/2009,12/31/2010,0,0,0
11113000,1/1/2009,12/31/2010,0,0,0
11114000,1/1/2009,12/31/2010,0,0,0
11114100,1/1/2009,12/31/2010,0,0,0
11114200,1/1/2009,12/31/2010,0,0,0
11114300,1/1/2009,12/31/2010,0,0,0
11114310,1/1/2009,12/31/2010,0,0,0
11114320,1/1/2009,12/31/2010,0,0,0
11114321,1/1/2009,12/31/2010,0,0,0
11114330,1/1/2009,12/31/2010,0,0,0
11114350,1/1/2009,12/31/2010,0,0,0
11115000,1/1/2009,12/31/2010,0,0,0
11115100,1/1/2009,12/31/2010,0,0,0
11115200,1/1/2009,12/31/2010,0,0,0
11115300,1/1/2009,12/31/2010,0,0,0
11116000,1/1/2009,12/31/2010,0,0,0
11120000,1/1/2009,12/31/2010,0,0,0
11121100,1/1/2009,12/31/2010,0,0,0
11121210,1/1/2009,12/31/2010,0,0,0
11121300,1/1/2009,12/31/2010,0,0,0
11122000,1/1/2009,12/31/2010,0,0,0
11210050,1/1/2009,12/31/2010,0,0,0
11211050,1/1/2009,12/31/2010,0,0,0
11211400,1/1/2009,12/31/2010,0,0,0
11212050,1/1/2009,12/31/2010,0,0,0
11220000,1/1/2009,12/31/2010,0,0,0
11320000,1/1/2009,12/31/2010,0,0,0
11320100,1/1/2009,12/31/2010,0,0,0
11320200,1/1/2009,12/31/2010,0,0,0
11321000,1/1/2009,12/31/2010,0,0,0
11321100,1/1/2009,12/31/2010,0,0,0
11321200,1/1/2009,12/31/2010,0,0,0
11340000,1/1/2009,12/31/2010,0,0,0
11410000,1/1/2009,12/31/2010,0,0,0
11411010,1/1/2009,12/31/2010,0,0,0
11411100,1/1/2009,12/31/2010,0,0,0
11411200,1/1/2009,12/31/2010,0,0,0
11411300,1/1/2009,12/31/2010,0,0,0
11420000,1/1/2009,12/31/2010,0,0,0
11421000,1/1/2009,12/31/2010,0,0,0
