"","203","204","205","207","208","221","255","262","263","268","269","291","301","303","304","305","306","307","309","312","315","317","318","319","320","321","322","323","324","328","334","337","338","401","404","405","406","410","415","417","418","421","430","431","432","435","501","502","503","504","505","506","507","508","509","510","511","512","513","514","515","516","517","518","573","578","601","605","606","607","608","609","610","611","612","613","614","617","618","619","620","621","626","627","628","629","630","631","645","646"
"1001",0.85,81.11,0.06,2.11,717,0,16.17,0,0,2999,0.06,0,24,0.02,2,24,24,643,0.09,0,0,1,2499,671,684,158,0,2.32,0,0,0,0,0,0,0.005,0.034,0.042,0.11,0.003,3,0.17,18.8,7,0,3,3,0.012,0.038,0.051,0.083,0.067,0.021,0.008,0.041,0.041,0.057,0.031,0.023,0.029,0.064,0.178,0.018,0.082,0.046,0,0,215,3.278,51.368,3.226,2.007,1.19,2.529,2.587,7.436,21.697,9.999,19.961,2.728,0.315,0,0,0.961,0,0.1,0,0,0,21.021,3.043
"1002",0.49,78.3,0,1.62,731,0,16.72,0,0,3058,0.06,0,23,0.05,1,24,41,583,0.05,0.01,0.001,0,2468,671,683,135,1,1.37,0,0,6,0,13,0,0.007,0.064,0.022,0.097,0.008,4,0.07,18.8,4.6,0,4,4,0.012,0.038,0.051,0.083,0.067,0.021,0.008,0.041,0.041,0.057,0.031,0.023,0.029,0.064,0.178,0.018,0.082,0.046,0,0,225,2.669,45.39,1.635,1.373,0.858,2.039,2.354,7.515,20.531,7.649,17.37,2.713,0.298,0.119,0.003,1.417,0.003,0.147,0.022,0.005,0.045,19.874,3.331
"1003",0.28,99.48,0,0,876,0,0.24,0,0,3665,0,0,4,0,0,3,5,2,0.01,0.001,0,0,3069,824,840,193,0,2.8,0,0,0,0,0,0,0.001,0.005,0.003,0.01,0.001,0,0.01,22.3,8.6,0,0,0,0.004,0.013,0.017,0.027,0.022,0.007,0.003,0.014,0.014,0.019,0.01,0.008,0.01,0.021,0.059,0.006,0.027,0.015,0,0,256,4.10705819230769,61.924,3.226,1.91,1.112,2.495,2.793,10.005,26.166,12.056,25.026,2.247,1.447,0,0,2.228,0,0,0,0,0,28.732,3.694
"1004",21.4,28.74,2.34,5.11,353,0,42.41,0,0,1477,0.5,0,528,0.31,23,387,256,1146,2.66,0.04,0.009,14.5,721,192,198,74,0,0.25,21,0.5,0,0,0,0,0.029,0.382,1.016,1.729,0.166,36,1.22,15.4,2.4,0,36,36,0.312,0.785,1.124,1.919,1.852,0.584,0.107,1.087,1.295,1.556,0.711,0.758,0.644,1.436,5.179,0.406,2.1,1.12,0,0,75,0.906660000000001,18.669,0.658,0.361,0.247,0.601,0.491,3.301,9.153,3.235,6.622,0.536,0.264,0,0,0.816,0,0,0,0,0,7.778,0.8
"1005",23.24,29.68,2.79,3.18,371,0,41.11,0,0,1552,0.51,0,674,0.43,24,451,136,560,2.6,0.024,0.012,14.5,1080,286,292,76,0,0.26,22,0.5,0,0,0,0,0.014,0.351,0.118,0.288,0.065,20,1.26,15.4,2.5,0,20,20,0.324,0.882,1.137,2.244,2.124,0.565,0.131,1.231,1.115,1.472,0.874,0.823,0.67,1.588,5.515,0.437,2.575,1.289,0,0,94,0.9783,18.764,0.914,0.373,0.299,0.585,0.482,3.227,8.655,3.455,7.401,0.491,0.293,0,0,0.817,0,0,0,0,0,8.598,0.784
"1006",20.75,27.68,0.45,2.7,334,0,48.42,0,0,1396,0.45,0,184,0.5,20,188,152,629,2.38,0.019,0.034,14.5,592,173,174,9,0,0.24,20,0.5,0,0,0,0,0.07,0.52,0.38,0.69,0.235,65,1.65,15.4,2.3,0,65,65,0.322,0.751,1.015,1.929,1.851,0.592,0.114,1.158,1.2,1.34,0.735,0.716,0.859,1.35,4.387,0.397,2.459,1.168,0,0,100,0.92543,17.41,0.564,0.323,0.297,0.673,0.504,3.065,8.246,2.88,6.563,0.513,0.313,0,0,1.007,0,0,0,0,0,8.013,0.826
"1007",19.8,24.26,0.46,3.68,300,0,51.8,0,0,1253,0.46,0,388,0.33,20,347,187,842,2.38,0.021,0.038,14.5,820,240,241,12,0,0.21,18,0.4,0,0,0,0,0.028,0.488,0.63,1.364,0.227,62,1.3,15.4,2,0,62,62,0.307,0.717,0.968,1.84,1.766,0.565,0.109,1.105,1.145,1.279,0.701,0.683,0.819,1.288,4.187,0.379,2.346,1.114,0,0,72,0.85586,15.259,0.494,0.283,0.26,0.59,0.442,2.686,7.227,2.524,5.752,0.45,0.274,0,0,0.883,0,0,0,0,0,7.023,0.724
"1008",25.18,29.2,3.06,3.28,376,0.202,39.28,1.88,20.29,1573,5.3041,0,673,0.64,22,490,93,690,2.94,0.024,0.021,14.5,1054,262,271,261.74,24.36,0.7716,48.44,0.985,53.88,470.95,337.97,0,0.031,0.45,0.18,0.19,0.074,18,0.27,35.43,9.969,0,18,18,0.324,0.896,1.563,2.412,2.095,0.659,0.126,1.326,1.216,1.682,0.952,0.884,0.711,1.618,6.16,0.439,2.838,1.472,0.1139,0.0211999999999999,93,1.0802,18.584,0.922,0.466,0.246,0.529,0.477,2.934,8.638,3.531,6.965,0.508,0.322,0.00758,0,0.885,0,0,0,0,0,8.275,0.83
"1009",22.87,33.31,3.37,3.71,403,0,36.75,0,0,1684,0.48,0,710,0.14,27,455,76,653,3.64,0.03,0.027,28.5,1242,330,337,85,0,0.71,24,0.6,0,0,0,0,0.029,0.428,0.059,0.41,0.066,27,1.1,16.5,2.4,0,27,27,0.547,1.044,1.206,1.939,1.025,0.547,0.123,1.074,1.108,1.404,0.547,0.547,0.751,1.734,4.735,0.547,2.497,0.78,0,0,99,1.3105,18.867,0.634,0.539,0.337,0.82,0.935,3.005,8.625,3.394,7.403,1.171,0.114,0.053,0.001,0.504,0,0.065,0.01,0.001,0.017,9.391,0.942
